"AriaId","AriaName","AriaOpera"
"0873","Chi_vive","Ale"
"2246","Chi_vive","Ale"
"0639","O_sugli","Ale"
"2298","O_sugli","Ale"
"1139","O_sugli","Ale"
"0955","O_sugli","Ale"
"1349","O_sugli","Ale"
"1313","O_sugli","Ale"
"1057","O_sugli","Ale"
"0672","O_sugli","Ale"
"0693","O_sugli","Ale"
"1482","O_sugli","Ale"
"1394","O_sugli","Ale"
"1389","O_sugli","Ale"
"1578","O_sugli","Ale"
"0835","O_sugli","Ale"
"1328","O_sugli","Ale"
"1300","O_sugli","Ale"
"0751","O_sugli","Ale"
"1206","O_sugli","Ale"
"0646","Se_mai","Ale"
"0967","Se_mai","Ale"
"0731","Se_mai","Ale"
"1278","Se_mai","Ale"
"1133","Se_mai","Ale"
"1497","Se_mai","Ale"
"1170","Se_mai","Ale"
"0956","Se_mai","Ale"
"1369","Se_mai","Ale"
"1356","Se_mai","Ale"
"1006","Se_mai","Ale"
"0678","Se_mai","Ale"
"0697","Se_mai","Ale"
"1483","Se_mai","Ale"
"1397","Se_mai","Ale"
"1409","Se_mai","Ale"
"1608","Se_mai","Ale"
"0841","Se_mai","Ale"
"1353","Se_mai","Ale"
"1221","Se_mai","Ale"
"1303","Se_mai","Ale"
"1436","Se_mai","Ale"
"1143","Se_mai","Ale"
"1216","Se_mai","Ale"
"0755","Se_mai","Ale"
"1309","Se_mai","Ale"
"0817","Se_mai","Ale"
"0988","Se_mai","Ale"
"1102","Se_mai","Ale"
"1078","Se_mai","Ale"
"1115","Se_mai","Ale"
"1026","Se_mai","Ale"
"0876","Se_mai","Ale"
"0640","Se_mai","Ale"
"0962","Se_mai","Ale"
"0725","Se_mai","Ale"
"2287","Se_mai","Ale"
"1274","Se_mai","Ale"
"1039","Se_mai","Ale"
"1116","Se_mai","Ale"
"0901","Se_mai","Ale"
"1350","Se_mai","Ale"
"1292","Se_mai","Ale"
"1058","Se_mai","Ale"
"1002","Se_mai","Ale"
"0673","Se_mai","Ale"
"0694","Se_mai","Ale"
"1486","Se_mai","Ale"
"1395","Se_mai","Ale"
"1390","Se_mai","Ale"
"1575","Se_mai","Ale"
"0836","Se_mai","Ale"
"1317","Se_mai","Ale"
"1201","Se_mai","Ale"
"1434","Se_mai","Ale"
"1135","Se_mai","Ale"
"1217","Se_mai","Ale"
"0752","Se_mai","Ale"
"1307","Se_mai","Ale"
"0814","Se_mai","Ale"
"2393","Se_mai","Ale"
"0985","Se_mai","Ale"
"1100","Se_mai","Ale"
"1075","Se_mai","Ale"
"1113","Se_mai","Ale"
"1021","Se_mai","Ale"
"0874","Se_mai","Ale"
"0641","Se_mai","Ale"
"0963","Se_mai","Ale"
"0726","Se_mai","Ale"
"2289","Se_mai","Ale"
"1275","Se_mai","Ale"
"1040","Se_mai","Ale"
"1160","Se_mai","Ale"
"0914","Se_mai","Ale"
"1368","Se_mai","Ale"
"1293","Se_mai","Ale"
"1059","Se_mai","Ale"
"1003","Se_mai","Ale"
"0674","Se_mai","Ale"
"0695","Se_mai","Ale"
"1488","Se_mai","Ale"
"1406","Se_mai","Ale"
"1408","Se_mai","Ale"
"1579","Se_mai","Ale"
"0837","Se_mai","Ale"
"1352","Se_mai","Ale"
"1196","Se_mai","Ale"
"1302","Se_mai","Ale"
"1435","Se_mai","Ale"
"1138","Se_mai","Ale"
"1193","Se_mai","Ale"
"0753","Se_mai","Ale"
"1308","Se_mai","Ale"
"0815","Se_mai","Ale"
"1222","Se_mai","Ale"
"2423","Se_mai","Ale"
"0800","Se_mai","Ale"
"0986","Se_mai","Ale"
"1101","Se_mai","Ale"
"1076","Se_mai","Ale"
"1114","Se_mai","Ale"
"1022","Se_mai","Ale"
"0875","Se_mai","Ale"
"0642","Se_possono","Ale"
"0964","Se_possono","Ale"
"0727","Se_possono","Ale"
"2301","Se_possono","Ale"
"1276","Se_possono","Ale"
"1041","Se_possono","Ale"
"0902","Se_possono","Ale"
"1351","Se_possono","Ale"
"1060","Se_possono","Ale"
"1061","Se_possono","Ale"
"0675","Se_possono","Ale"
"1480","Se_possono","Ale"
"1407","Se_possono","Ale"
"1652","Se_possono","Ale"
"0838","Se_possono","Ale"
"1329","Se_possono","Ale"
"1439","Se_possono","Ale"
"1150","Se_possono","Ale"
"1709","Se_possono","Ale"
"1321","Se_possono","Ale"
"0990","Se_possono","Ale"
"1128","Se_possono","Ale"
"0879","Se_possono","Ale"
"0643","Compagni_nell","Ale"
"0965","Compagni_nell","Ale"
"1251","Compagni_nell","Ale"
"1255","Compagni_nell","Ale"
"2295","Compagni_nell","Ale"
"1169","Compagni_nell","Ale"
"1294","Compagni_nell","Ale"
"1062","Compagni_nell","Ale"
"0839","Compagni_nell","Ale"
"1023","Tu_sei","Ale"
"0644","Voi_che","Ale"
"0729","Voi_che","Ale"
"1277","Voi_che","Ale"
"1043","Voi_che","Ale"
"0903","Voi_che","Ale"
"1370","Voi_che","Ale"
"1063","Voi_che","Ale"
"0696","Voi_che","Ale"
"1491","Voi_che","Ale"
"1398","Voi_che","Ale"
"1412","Voi_che","Ale"
"1580","Voi_che","Ale"
"1141","Voi_che","Ale"
"1437","Voi_che","Ale"
"0754","Voi_che","Ale"
"1223","Voi_che","Ale"
"1024","Come_minganno","Ale"
"1027","Io_partiro","Ale"
"1028","Son_prigionier","Ale"
"1032","Perche_co","Ale"
"1033","Nel_lasciarti","Ale"
"1065","E_maggiore","Ale"
"1066","Vanne_piu","Ale"
"1067","Solo_ascolto","Ale"
"0997","Voi_che_splendete","Ale"
"1268","Se_la","Ale"
"0645","Se_amore","Ale"
"0966","Se_amore","Ale"
"0730","Se_amore","Ale"
"2294","Se_amore","Ale"
"1044","Se_amore","Ale"
"1087","Se_amore","Ale"
"1421","Se_amore","Ale"
"0904","Se_amore","Ale"
