"name","value"
"ale_lo_cilow_galuppi_jommelli_1239","-0.132830114781799"
"ale_lo_ciup_galuppi_jommelli_1239","5.86650391697087"
"ale_p_BaldassareGaluppi_1239","0.891960726055338"
"ale_p_DavidePerez_1239","0.0277340594056291"
"ale_p_DomenicoNataleSarro_1239","0.0122196854280555"
"ale_p_GaetanoMariaSchiassi_1239","0.00468077438901069"
"ale_p_MicheleCaballone_1239","0.012671317655565"
"ale_p_NiccolJommelli_1239","0.0507334370664018"
"ale_cilow_BaldassareGaluppi_1239","0.422258142162181"
"ale_cilow_DavidePerez_1239","0.00157842809701437"
"ale_cilow_DomenicoNataleSarro_1239","0.000690811004914477"
"ale_cilow_GaetanoMariaSchiassi_1239","0.000242486298291304"
"ale_cilow_MicheleCaballone_1239","0.000685180132354448"
"ale_cilow_NiccolJommelli_1239","0.0028935672995862"
"ale_ciup_BaldassareGaluppi_1239","0.989390769083571"
"ale_ciup_DavidePerez_1239","0.339798985820811"
"ale_ciup_DomenicoNataleSarro_1239","0.181254527380399"
"ale_ciup_GaetanoMariaSchiassi_1239","0.0835641808102158"
"ale_ciup_MicheleCaballone_1239","0.193694481685377"
"ale_ciup_NiccolJommelli_1239","0.496039713978238"
"pctl_1239_SoundVaLowestNoteIndex","60"
"pctl_1239_HarmonyChordsGrouping2SDPer","62"
"pctl_1239_HarmonyChordviPer","77"
"pctl_1239_PartVnDegree1Perrelative","60"
"pctl_1239_PartVnDegree6Perrelative","79"
"pctl_1239_ScoreDegree1Perrelative","36"
"pctl_1239_PartBsDegree2Perrelative","78"
"pctl_1239_HarmonyChordsGrouping2TPer","67"
"pctl_1239_HarmonyChordsGrouping1sdPer","77"
"pctl_1239_HarmonyKeyiiiPercentageMeasures","47"
"pctl_1239_PartVnIIIntervalmDesc6Per","62"
"pctl_1239_SoundVaDescendingIntervallicStd","19"
"pctl_1239_PartBsDegree6Perrelative","45"
"pctl_1239_PartVnIIntervalsMajorAllPer","96"
"pctl_1239_PartBsDegree3Perrelative","63"
"pctl_1239_PartBsDegree1Perrelative","25"
"pctl_1239_SoundBsAmbitus","49"
"pctl_1239_PartVnDegree3Perrelative","15"
"pctl_1239_ScoreDegree6Perrelative","58"
"pctl_1239_PartHnIIIntervalPDesc8Per","74"
"pctl_1239_SoundVaIntervalPDesc4Per","76"
"pctl_1239_SoundVaIntervalM3Per","54"
"pctl_1239_SoundBsHighestNoteIndex","43"
"pctl_1239_PartHnIIIntervalP8Per","62"
"pctl_1239_SoundVaIntervalmDesc6Per","57"
"pctl_1239_PartVnIDescPartBsTexture","80"
