"AriaId","marker","value","perez_high","pct","pctl_galuppi"
1239,"SoundBs_HighestNoteIndex",62,FALSE,-6.41759700646599,0.433823529411765
1239,"PartHnII_IntervalP8_Per",0,FALSE,-6.37928900982467,0.625
1239,"SoundVa_Intervalm.6_Per",0.0042643923240938,TRUE,6.80406478129718,0.566176470588235
1239,"PartVnI.PartBs_Texture",1.88818565400844,FALSE,-6.08792446394003,0.801470588235294
1239,"PartVnI_Degree1_Per_relative",0.194413407821229,TRUE,6.29335811659342,0.727941176470588
1239,"SoundVa_IntervalM2_Per",0.108742004264392,FALSE,-5.69052813253101,0.823529411764706
1239,"Score_IntervalP4_Per",0.0574929311969839,FALSE,-5.53789062321781,0.860294117647059
1239,"Score_Degree2_Per_relative",0.127352572145546,FALSE,-5.53716013087034,0.705882352941177
1239,"PartVnI_Degree3_Per_relative",0.146368715083799,TRUE,5.78831627440348,0.147058823529412
1239,"SoundVa_HighestNoteIndex",76,FALSE,-5.46463200219527,0.933823529411765
1239,"Score_IntervalP.8_Per",0.0138234370091109,FALSE,-5.43636867454825,0.213235294117647
1239,"Harmony_Key_Modulatory_vi",0.2,FALSE,-5.39435603057179,0.963235294117647
1239,"PartVnI_Degree7_Per_relative",0.0972067039106145,FALSE,-5.3717731432484,0.941176470588235
1239,"Score_Degree.4_Per_relative",0.0100376411543287,FALSE,-5.34498034328806,0.522058823529412
1239,"Score_DynMean_weighted",52.2776589423648,TRUE,5.64333960518135,0.529411764705882
1239,"PartVnII_Degree3_Per_relative",0.140979689366786,TRUE,5.56828248426686,0.286764705882353
1239,"PartVa_Degree2_Per_relative",0.0808510638297872,FALSE,-5.19528430323691,0.580882352941177
1239,"SoundVa_IntervalP5_Per",0.0106609808102345,TRUE,5.46103277923795,0.610294117647059
1239,"SoundOb_IntervalM7_Per",0,FALSE,-5.1098016988755,0.823529411764706
1239,"PartVnII_DynGrad",14.330187042634,TRUE,5.33906405719933,0.426470588235294
1239,"PartBs_DynMean",67.5116279069767,TRUE,5.28702875718257,0.61764705882353
1239,"NumericTempo",90,TRUE,5.26930135236625,0.568
1239,"PartVnI_IntervalM3_Per",0.0111856823266219,TRUE,5.23203319699677,0.117647058823529
