"problem","class","term","estimate","z_value"
"binary",NA,"PartHnII_IntervalP.8_Per",-0.0685538314062336,-3.04054765052485
"binary",NA,"Score_AbsoluteIntervallicStd",-0.0340912735364513,-3.00691040651841
"binary",NA,"Harmony_Key_iii_PercentageMeasures",-0.0797526750907681,-2.97618057814793
"binary",NA,"Score_AbsoluteIntervallicTrimDiff",-0.0445481052884658,-2.94841431624294
"binary",NA,"PartHnII_IntervalP8_Per",-0.0659185557188633,-2.92779428748398
"binary",NA,"dum_Tempo_Andante",-0.072819959813399,-2.92131271503785
"binary",NA,"Score_Degree2_Per_relative",-0.0569636577212505,-2.88241024005631
"binary",NA,"SoundBs_HighestNoteIndex",-0.0663278223850082,-2.8542663221268
"binary",NA,"Score_Degree.4_Per_relative",-0.0549312758593237,-2.75131888524737
"binary",NA,"SoundVa_Intervalm.6_Per",0.0658257995637227,2.74984748152776
"binary",NA,"PartVnI_Degree1_Per_relative",0.0610326149673766,2.74304314020536
"binary",NA,"Harmony_Chord_types_major.triad",0.0433051716163866,2.66080385115311
"binary",NA,"Score_DynMean_weighted",0.0548985140155737,2.65767225722051
"binary",NA,"Score_IntervalP8_Per",-0.0393063628556729,-2.6196541091584
"binary",NA,"PartVnI_Degree3_Per_relative",0.0562698951490215,2.56707499441584
"binary",NA,"PartVnI_Degree7_Per_relative",-0.0552143732874669,-2.52359660976185
"binary",NA,"PartObII_IntervalP4_Per",-0.0429348109759942,-2.47067081306307
"binary",NA,"PartHnII_IntervalM3_Per",0.0488610815747303,2.42179235307598
"binary",NA,"PartVnII_Degree3_Per_relative",0.0541877849057694,2.37826813915866
"binary",NA,"PartHnII_Intervalm3_Per",0.0469487786024329,2.34127861103713
"binary",NA,"PartBs_Degree4_Per_relative",-0.0493725132593536,-2.31418448249902
"binary",NA,"SoundVa_IntervalP5_Per",0.0531713411559632,2.3092382861734
"binary",NA,"SoundBs_DescendingIntervallicStd",-0.0433203374676185,-2.28776948715991
"binary",NA,"SoundSop_Intervalm3_Per",0.0437780516126264,2.27972275636724
"binary",NA,"PartVa_Degree2_Per_relative",-0.0533510343275475,-2.26115366491287
"binary",NA,"PartVnI_IntervalsMajorAsc_Per",-0.0469502690181927,-2.25573189852696
"binary",NA,"SoundVa_HighestNoteIndex",-0.0561961569808582,-2.2517317219528
"binary",NA,"NumericTempo",0.0513516555319852,2.25062026156466
"binary",NA,"SoundVa_LargestSemitonesAsc",-0.0493913890383419,-2.24199851304599
"binary",NA,"PartVnI_IntervalM3_Per",0.050997566035701,2.22311749745473
"binary",NA,"PartVnII_DynGrad",0.0520141430571024,2.21374400870245
"binary",NA,"Harmony_Key_Modulatory_vi",-0.0554530502994837,-2.186391462007
"binary",NA,"SoundOb_IntervalM7_Per",-0.0524497702045816,-2.16813868691605
"binary",NA,"PartBs_Degree5_Per_relative",0.0472560592229089,2.16686543578339
"binary",NA,"PartVa_Degree5_Per_relative",0.0499631235501603,2.15508369158054
"binary",NA,"SoundBs_IntervalP.5_Per",0.0477165245436729,2.15359275770837
"binary",NA,"Harmony_Chord_IV_Per",-0.0467061375321061,-2.15027699735334
"binary",NA,"PartBs_DynMean",0.0515200418716309,2.14399657726089
"binary",NA,"Score_DescendingIntervallicStd",-0.0307380442668086,-2.12062116892475
