"marker","pct","Composer","direction","rank","AriaId","AriaName","AriaOpera","value","mean_galuppi","mean_perez","mean_jommelli","mean_hasse"
"PartVnII_DynGrad",5.33906405719933,"Baldassare Galuppi","low",3,1238,"Non_dura","Dem",4.0415968626787,18.467993849767,23.5378223234551,19.870574486753,10.6868089323271
"PartVnII_DynGrad",5.33906405719933,"Davide Perez","high",1,1369,"Se_mai","Ale",74.0693356316117,18.467993849767,23.5378223234551,19.870574486753,10.6868089323271
"PartVnII_DynGrad",5.33906405719933,"Davide Perez","high",2,1368,"Se_mai","Ale",71.8521452963996,18.467993849767,23.5378223234551,19.870574486753,10.6868089323271
"PartVnII_DynGrad",5.33906405719933,"Davide Perez","high",3,1981,"Mi_credi","Art",66.2611778457473,18.467993849767,23.5378223234551,19.870574486753,10.6868089323271
"PartVnII_DynGrad",5.33906405719933,"Niccolò Jommelli","low",1,200,"Tu_mi_scorgi","Did",3.27628026658184,18.467993849767,23.5378223234551,19.870574486753,10.6868089323271
"PartVnII_DynGrad",5.33906405719933,"Niccolò Jommelli","low",2,227,"Gia_si","Did",3.72000915750916,18.467993849767,23.5378223234551,19.870574486753,10.6868089323271
"PartVnII_DynGrad",5.33906405719933,"Niccolò Jommelli","low",3,538,"Felice_eta","Dem",5.00465668373053,18.467993849767,23.5378223234551,19.870574486753,10.6868089323271
"PartVnII_DynGrad",5.33906405719933,"Johann Adolph Hasse","low",1,2304,"E_ver","Ale",2.18558362628489,18.467993849767,23.5378223234551,19.870574486753,10.6868089323271
"PartVnII_DynGrad",5.33906405719933,"Johann Adolph Hasse","low",2,579,"Che_mai","Dem",2.3996319529569,18.467993849767,23.5378223234551,19.870574486753,10.6868089323271
"PartVnII_DynGrad",5.33906405719933,"Johann Adolph Hasse","low",3,737,"Se_e","Ale",2.48789554126284,18.467993849767,23.5378223234551,19.870574486753,10.6868089323271
"PartVnII_Intervalm.6_Per",8.30126924231502,"Baldassare Galuppi","low",1,1268,"Se_la","Ale",0,0.00565603591976062,0.0115444132344338,0.00817932858942984,0.00750242676961002
"PartVnII_Intervalm.6_Per",8.30126924231502,"Baldassare Galuppi","low",2,683,"Destrier_che","Ale",0,0.00565603591976062,0.0115444132344338,0.00817932858942984,0.00750242676961002
"PartVnII_Intervalm.6_Per",8.30126924231502,"Baldassare Galuppi","low",3,700,"Se_e","Ale",0,0.00565603591976062,0.0115444132344338,0.00817932858942984,0.00750242676961002
"PartVnII_Intervalm.6_Per",8.30126924231502,"Davide Perez","high",1,1369,"Se_mai","Ale",0.053179190751445,0.00565603591976062,0.0115444132344338,0.00817932858942984,0.00750242676961002
"PartVnII_Intervalm.6_Per",8.30126924231502,"Davide Perez","high",2,263,"Quel_nocchier","Did",0.0530071355759429,0.00565603591976062,0.0115444132344338,0.00817932858942984,0.00750242676961002
"PartVnII_Intervalm.6_Per",8.30126924231502,"Davide Perez","high",3,1965,"Cosi_stupisce","Art",0.0401737242128121,0.00565603591976062,0.0115444132344338,0.00817932858942984,0.00750242676961002
"PartVnII_Intervalm.6_Per",8.30126924231502,"Niccolò Jommelli","low",1,1609,"Se_e","Ale",0,0.00565603591976062,0.0115444132344338,0.00817932858942984,0.00750242676961002
"PartVnII_Intervalm.6_Per",8.30126924231502,"Niccolò Jommelli","low",2,1610,"Se_il","Ale",0,0.00565603591976062,0.0115444132344338,0.00817932858942984,0.00750242676961002
"PartVnII_Intervalm.6_Per",8.30126924231502,"Niccolò Jommelli","low",3,2169,"Per_quell","Art",0,0.00565603591976062,0.0115444132344338,0.00817932858942984,0.00750242676961002
"PartVnII_Intervalm.6_Per",8.30126924231502,"Johann Adolph Hasse","low",1,2726,"E_vero","Adr",0,0.00565603591976062,0.0115444132344338,0.00817932858942984,0.00750242676961002
"PartVnII_Intervalm.6_Per",8.30126924231502,"Johann Adolph Hasse","low",2,2727,"Prigioniera_abbandonata","Adr",0,0.00565603591976062,0.0115444132344338,0.00817932858942984,0.00750242676961002
"PartVnII_Intervalm.6_Per",8.30126924231502,"Johann Adolph Hasse","low",3,2736,"Leon_piagato","Adr",0,0.00565603591976062,0.0115444132344338,0.00817932858942984,0.00750242676961002
"PartVnI_Acc_avg_abs_step_4.0",4.94471475332279,"Baldassare Galuppi","low",1,704,"Finche_rimango","Ale",0.191666666666667,0.475371015984308,0.52563067452793,0.523739892429292,0.53395142166987
"PartVnI_Acc_avg_abs_step_4.0",4.94471475332279,"Baldassare Galuppi","low",2,1228,"Non_odi","Dem",0.203125,0.475371015984308,0.52563067452793,0.523739892429292,0.53395142166987
"PartVnI_Acc_avg_abs_step_4.0",4.94471475332279,"Baldassare Galuppi","low",3,774,"Vado_ma","Did",0.205357142857143,0.475371015984308,0.52563067452793,0.523739892429292,0.53395142166987
"PartVnI_Acc_avg_abs_step_4.0",4.94471475332279,"Davide Perez","high",1,1058,"Se_mai","Ale",1.5,0.475371015984308,0.52563067452793,0.523739892429292,0.53395142166987
"PartVnI_Acc_avg_abs_step_4.0",4.94471475332279,"Davide Perez","high",2,1375,"E_ver","Ale",1.32291666666667,0.475371015984308,0.52563067452793,0.523739892429292,0.53395142166987
"PartVnI_Acc_avg_abs_step_4.0",4.94471475332279,"Davide Perez","high",3,17,"Non_ha","Did",0.894230769230769,0.475371015984308,0.52563067452793,0.523739892429292,0.53395142166987
"PartVnI_Acc_avg_abs_step_4.0",4.94471475332279,"Niccolò Jommelli","high",1,891,"Non_odi","Dem",1.41666666666667,0.475371015984308,0.52563067452793,0.523739892429292,0.53395142166987
"PartVnI_Acc_avg_abs_step_4.0",4.94471475332279,"Niccolò Jommelli","high",2,2115,"Mi_credi","Art",1.3125,0.475371015984308,0.52563067452793,0.523739892429292,0.53395142166987
"PartVnI_Acc_avg_abs_step_4.0",4.94471475332279,"Niccolò Jommelli","high",3,896,"Se_tutti","Dem",1.26041666666667,0.475371015984308,0.52563067452793,0.523739892429292,0.53395142166987
"PartVnI_Acc_avg_abs_step_4.0",4.94471475332279,"Johann Adolph Hasse","high",1,2165,"Non_e","Art",1.10576923076923,0.475371015984308,0.52563067452793,0.523739892429292,0.53395142166987
"PartVnI_Acc_avg_abs_step_4.0",4.94471475332279,"Johann Adolph Hasse","high",2,193,"Tacero_se","Did",1.01666666666667,0.475371015984308,0.52563067452793,0.523739892429292,0.53395142166987
